Min X value: -35,92655
Min Y value: -36,21146
Min Z value: -1,907642
Max X value: 9,073447
Max Y value: -21,21146
Max Z value: 23,09236
Key: charpos in X , Y , Z , Time since start capture
-31,65864 , -29,66039 , 4,274608 , 34,74
-31,65748 , -29,67439 , 4,27263 , 34,76
-31,65519 , -29,70239 , 4,268713 , 34,78
-31,65178 , -29,74439 , 4,262897 , 34,8
-31,64729 , -29,80039 , 4,255219 , 34,82
-31,64172 , -29,87039 , 4,245717 , 34,84
-31,63511 , -29,95439 , 4,234427 , 34,86
-31,62748 , -30,05239 , 4,221385 , 34,88
-31,61883 , -30,16439 , 4,206625 , 34,9
-31,60921 , -30,29039 , 4,190183 , 34,92
-31,59862 , -30,43039 , 4,172091 , 34,94
-31,58708 , -30,58439 , 4,152383 , 34,96
-31,57461 , -30,75239 , 4,131092 , 34,98
-31,56124 , -30,93439 , 4,108248 , 35
-31,54697 , -31,13039 , 4,083883 , 35,02
-31,53183 , -31,34039 , 4,058027 , 35,04
-31,51584 , -31,56438 , 4,030711 , 35,06
-31,49902 , -31,80239 , 4,001965 , 35,08
-31,48139 , -32,05439 , 3,971817 , 35,1
-31,46297 , -32,32038 , 3,940297 , 35,12
-31,44377 , -32,60038 , 3,907431 , 35,14
-31,42381 , -32,89438 , 3,873246 , 35,16
-31,40311 , -33,20238 , 3,837769 , 35,18
-31,38168 , -33,52438 , 3,801025 , 35,2
-31,35952 , -33,86038 , 3,763041 , 35,22
-31,33668 , -34,21038 , 3,723841 , 35,24
-31,31316 , -34,57438 , 3,683452 , 35,26
-31,289 , -34,40416 , 3,641885 , 35,28
-31,26422 , -34,37012 , 3,599167 , 35,3
-31,2627 , -34,36331 , 3,596324 , 35,32
-31,25967 , -34,36195 , 3,590638 , 35,34
-31,25513 , -34,36168 , 3,582109 , 35,36
-31,24908 , -34,36162 , 3,570738 , 35,38
-31,24151 , -34,36161 , 3,556523 , 35,4
-31,23243 , -34,36161 , 3,539465 , 35,42
-31,22183 , -34,36161 , 3,519565 , 35,44
-31,20972 , -34,36161 , 3,496821 , 35,46
-31,1961 , -34,36161 , 3,471235 , 35,48
-31,18096 , -34,36161 , 3,442806 , 35,5
-31,16431 , -34,36161 , 3,411533 , 35,52
-31,14615 , -34,36161 , 3,377418 , 35,54
-31,12647 , -34,36161 , 3,34046 , 35,56
-31,10528 , -34,36161 , 3,300659 , 35,58
-31,08257 , -34,36161 , 3,258015 , 35,6
-31,05835 , -34,36161 , 3,212528 , 35,62
-31,03262 , -34,36161 , 3,164198 , 35,64
-31,00537 , -34,36161 , 3,113025 , 35,66
-30,97661 , -34,36161 , 3,05901 , 35,68
-30,94634 , -34,36161 , 3,002151 , 35,7
-30,9171 , -34,36161 , 2,945057 , 35,72
-30,88924 , -34,36161 , 2,887776 , 35,74
-30,86169 , -34,36161 , 2,830148 , 35,76
-30,83481 , -34,36161 , 2,772222 , 35,78
-30,80793 , -34,36161 , 2,714296 , 35,8
-30,78105 , -34,36161 , 2,65637 , 35,82
-30,75416 , -34,36161 , 2,598444 , 35,84
-30,7259 , -34,36161 , 2,540713 , 35,86
-30,69107 , -34,36161 , 2,484694 , 35,88
-30,64873 , -34,36161 , 2,430496 , 35,9
-30,60311 , -34,36161 , 2,377258 , 35,92
-30,55329 , -34,36161 , 2,324473 , 35,94
-30,4993 , -34,36161 , 2,272875 , 35,96
-30,44178 , -34,36161 , 2,22185 , 35,98
-30,38229 , -34,36161 , 2,171268 , 36
-30,32123 , -34,36161 , 2,121185 , 36,02
-30,25837 , -34,36161 , 2,071701 , 36,04
